Provider State,State Total Covered,State Total Discharges,State Average Covered,State Total Payment,State Average Payment,State Average Total Charges,State Covered Ratio
AK,263810976.84,6142,42951.966271572775,90149869.65,14677.60821393683,57629.574485509605,0.7453111818893028
AL,4579078710.98,142704,32087.949258465072,1098626721.86,7698.639995094741,39786.58925355981,0.8065016343564579
AR,2191449621.71,86769,25256.135505883438,682473694.66,7865.409243623874,33121.54474950731,0.7625289127331275
AZ,4127848632.05,104604,39461.67098820313,1023640012.85,9785.859172211389,49247.53016041452,0.8012923868397906
CA,31605849664.46,474979,66541.57271049877,5862212436.91,12342.045515507001,78883.61822600578,0.8435410825078232
CO,2572041622.13,61320,41944.57961725375,590703840.27,9633.135033757339,51577.71465101109,0.8132306733840814
CT,2937554277.1,96258,30517.507917264018,1061988486.42,11032.729606058716,41550.237523322736,0.7344725261831322
DC,776058508.9,20307,38216.305160781994,250592560.7,12340.20587482149,50556.511035603486,0.7559126288178564
DE,667413286.03,26753,24947.231563936755,276029544.25,10317.70434156917,35264.935905505925,0.7074231364203822
FL,22947390346.23,536859,42743.79370790096,4499881666.21,8381.868733149673,51125.662441050634,0.8360535916221289
GA,5897988716.76,191242,30840.446746844314,1709438163.82,8938.612667824013,39779.05941466833,0.7752935137393433
HI,375201141.8,11712,32035.61661543716,149025177.76,12724.144275956283,44759.760891393445,0.7157235869326789
IA,1737281595.05,68784,25257.059709380086,589341075.51,8567.996561845777,33825.05627122586,0.7466967536389775
ID,478630420.83,18295,26161.815842033342,184899873.60999998,10106.579590598523,36268.39543263186,0.7213392136585866
IL,12158697146.59,361603,33624.43659646076,3327673379.09,9202.560208543624,42826.99680500438,0.785122448570377
IN,5105227928.74,182573,27962.66659768969,1573886307.71,8620.586328263216,36583.25292595291,0.7643570311882354
KS,2041366005.1299999,61800,33031.81238074433,540726358.09,8749.617444822006,41781.42982556634,0.7905859736885296
KY,3774377338.64,152572,24738.3355965708,1254930783.81,8225.170960661195,32963.506557231995,0.7504764565511116
LA,3493307614.94,109876,31793.181540463796,917263816.49,8348.172635425388,40141.35417588918,0.7920306176307401
MA,3990257462.98,193680,20602.320647356464,1920569076.5,9916.197214477488,30518.517861833952,0.6750760551553996
MD,2167280810.02,173011,12526.838235834715,2043982385.22,11814.175891821907,24341.01412765662,0.5146391259681139
ME,709081301.98,33114,21413.338828894124,303458283.98,9164.04795494353,30577.386783837654,0.7002998320383811
MI,7187371621.41,295552,24318.46721189503,2885782550.89,9764.043386239984,34082.51059813501,0.7135174840443159
MN,2810832565.76,95666,29381.729828361174,991718819.13,10366.471046453285,39748.20087481446,0.7391964713295549
MO,5360167647.93,178826,29974.20759805621,1540075681.43,8612.146340185433,38586.35393824164,0.7768084967558901
MS,2763331834.95,93223,29642.168080302068,756576884.97,8115.774915739678,37757.94299604175,0.7850578111050575
MT,368793927.98,15705,23482.580578159825,150410779.06,9577.254317733206,33059.83489589303,0.7103054401846703
NC,6667225890.74,257312,25911.05696873834,2425195187.13,9425.114985426253,35336.171954164594,0.7332728910858879
ND,378405226.39,16425,23038.36994764079,167699701.12,10210.027465449011,33248.3974130898,0.6929167039663285
NE,1247670829.37,39799,31349.30097163245,372793497.58,9366.90614286791,40716.20711450036,0.7699464953470077
NH,757462348.32,28419,26653.377962630635,266066633.73,9362.279944051514,36015.65790668215,0.740049731472086
NJ,15298501127.44,251207,60899.97940917252,2462087656.68,9801.031247855353,70701.01065702787,0.8613735340305053
NM,826675407.59,26925,30702.893503806874,264530126.53,9824.702935190344,40527.59643899722,0.7575799258172479
NV,2481557445,42600,58252.52218309859,425918871.05,9998.09556455399,68250.61774765258,0.8535090832214796
NY,14512307667.17,435557,33318.96322908368,5117372846.84,11749.031347998081,45067.994577081765,0.7393043232065007
OH,8372562682.9,293472,28529.34073063188,2533345779.74,8632.325331684113,37161.66606231599,0.7677088719001818
OK,3020683701.57,97292,31047.606191362087,835480101.78,8587.346357151668,39634.95254851376,0.7833390529068848
OR,1124777590.6,39546,28442.2594092955,430561085.6,10887.601416072423,39329.86082536793,0.7231721346684787
PA,12452006782.31,314936,39538.21342212386,2831208758.94,8989.790811275941,48528.0042333998,0.8147504527893064
RI,647498825.29,22289,29050.15143299385,228369985.93,10245.860555879583,39296.01198887343,0.7392646215911001
SC,4454174971.75,121393,36692.18959701136,1106303633.46,9113.405496692561,45805.59509370392,0.8010416527053216
SD,642560301.6,20109,31953.86650753394,220116373.64,10946.162098562832,42900.02860609678,0.7448448764668839
TN,5592747853.34,189065,29581.085094226855,1578410696.02,8348.508163964774,37929.59325819163,0.7798946034792569
TX,20055891675.68,479939,41788.41826915504,4417582851.5199995,9204.467341724676,50992.88561087971,0.8194950681559227
UT,633752041.98,23052,27492.28014836023,246496826.16,10693.077657470067,38185.357805830296,0.7199691643104781
VA,5590194187.33,193399,28904.979794776602,1705165587.41,8816.827322840347,37721.80711761695,0.7662671012724975
VT,208135847.96,10071,20666.85015986496,119936774.54,11909.122682951049,32575.97284281601,0.6344200450923027
WA,3777670493.82,107011,35301.70257095065,1124648589.97,10509.654053975759,45811.35662492641,0.7705884560454742
WI,2688250426.16,100068,26864.236580725104,950876771.89,9502.306150717512,36366.54273144262,0.7387074646911158
WV,1256709812.85,64968,19343.52008450314,504266939.51,7761.774096632188,27105.294181135327,0.7136436135035861
WY,202767684.76,6535,31027.95482172915,78999528.25,12088.680680948737,43116.635502677884,0.7196283861202961
